Date,Price
2025-02-17,96179.01
2025-02-18,95773.81
2025-02-19,95532.53
2025-02-20,96632.68
2025-02-21,98340.67
2025-02-22,96134.20
2025-02-23,96577.80
2025-02-24,96277.96
2025-02-25,91437.12
2025-02-26,88638.89
2025-02-27,84076.86
2025-02-28,84705.63
2025-03-01,84373.87
2025-03-02,86036.26
2025-03-03,94248.42
2025-03-04,86064.07
2025-03-05,87222.95
2025-03-06,90622.36
2025-03-07,89963.28
2025-03-08,86742.66
2025-03-09,86154.30
2025-03-10,80597.15
2025-03-11,78523.88
2025-03-12,82857.38
2025-03-13,83724.92
2025-03-14,81066.99
2025-03-15,83968.41
2025-03-16,84333.32
2025-03-17,82576.34
2025-03-18,84075.72
2025-03-19,82718.80
2025-03-20,86872.95
2025-03-21,84164.54
2025-03-22,84046.26
2025-03-23,83831.90
2025-03-24,86070.93
2025-03-25,87512.82
2025-03-26,87460.23
2025-03-27,86896.26
2025-03-28,87185.23
2025-03-29,84352.07
2025-03-30,82596.98
2025-03-31,82336.06
2025-04-01,82551.92
2025-04-02,85180.61
2025-04-03,82487.48
2025-04-04,83100.25
2025-04-05,83844.70
2025-04-06,83504.51
2025-04-07,78221.34
2025-04-08,79218.48
2025-04-09,76273.56
2025-04-10,82565.98
2025-04-11,79625.05
2025-04-12,83404.52
2025-04-13,85279.47
2025-04-14,83694.52
2025-04-15,84539.70
2025-04-16,83674.51
2025-04-17,84030.67
2025-04-18,84900.19
2025-04-19,84450.87
2025-04-20,85066.07
2025-04-21,85171.54
2025-04-22,87521.88
2025-04-23,93427.59
2025-04-24,93692.40
2025-04-25,93954.25
2025-04-26,94714.65
2025-04-27,94660.91
2025-04-28,93755.30
2025-04-29,94981.86
2025-04-30,94286.47
2025-05-01,94212.86
2025-05-02,96494.97
2025-05-03,96904.63
2025-05-04,95877.19
2025-05-05,94319.56
2025-05-06,94748.38
2025-05-07,96800.20
2025-05-08,97034.25
2025-05-09,103239.13
2025-05-10,102973.71
2025-05-11,104701.07
2025-05-12,104106.96
2025-05-13,102812.49
2025-05-14,104167.33
2025-05-15,103538.83
2025-05-16,103735.66
2025-05-17,103489.29
2025-05-18,103186.95
2025-05-19,106430.53
2025-05-20,105605.41
2025-05-21,106791.31
2025-05-22,109673.49
2025-05-23,111679.36
2025-05-24,107278.51
2025-05-25,107802.27
2025-05-26,109023.78
2025-05-27,109440.41
2025-05-28,108992.17
2025-05-29,107795.57
2025-05-30,105646.21
2025-05-31,103994.72
2025-06-01,104637.30
2025-06-02,105649.81
2025-06-03,105888.48
2025-06-04,105434.37
2025-06-05,104750.78
2025-06-06,101574.37
2025-06-07,104390.65
2025-06-08,105617.51
2025-06-09,105793.02
2025-06-10,110295.69
2025-06-11,110261.80
2025-06-12,108685.91
2025-06-13,105924.59
2025-06-14,106108.09
2025-06-15,105464.84
2025-06-16,105555.59
2025-06-17,106794.12
2025-06-18,104602.07
2025-06-19,104886.77
2025-06-20,104681.03
2025-06-21,103315.08
2025-06-22,102212.03
2025-06-23,100987.48
2025-06-24,105571.52
2025-06-25,106047.41
2025-06-26,107375.07
2025-06-27,106954.92
2025-06-28,107090.55
2025-06-29,107327.82
2025-06-30,108383.44
2025-07-01,107144.38
2025-07-02,105703.10
2025-07-03,108845.02
2025-07-04,109635.66
2025-07-05,108015.84
2025-07-06,108231.19
2025-07-07,109235.33
2025-07-08,108298.23
2025-07-09,108950.27
2025-07-10,111329.20
2025-07-11,115986.23
2025-07-12,117530.71
2025-07-13,117432.20
2025-07-14,119115.79
2025-07-15,119853.85
2025-07-16,117777.19
2025-07-17,118738.51
2025-07-18,119284.11
2025-07-19,117998.13
2025-07-20,117944.11
2025-07-21,117306.47
2025-07-22,117426.50
2025-07-23,119997.45
2025-07-24,118770.98
2025-07-25,118368.00
2025-07-26,117644.84
2025-07-27,117944.73
2025-07-28,119457.52
2025-07-29,117938.59
2025-07-30,117921.99
2025-07-31,117833.63
2025-08-01,115738.95
2025-08-02,113320.39
2025-08-03,112525.80
2025-08-04,114223.92
2025-08-05,115072.19
2025-08-06,114140.91
2025-08-07,115030.05
2025-08-08,117505.50
2025-08-09,116678.27
2025-08-10,116497.72
2025-08-11,119306.81
2025-08-12,118717.66
2025-08-13,120168.98
2025-08-14,123339.40
2025-08-15,118365.78
2025-08-16,117398.42
2025-08-17,117492.79
2025-08-18,117453.91
2025-08-19,116241.86
2025-08-20,112828.02
2025-08-21,114275.69
2025-08-22,112433.73
2025-08-23,116866.37
2025-08-24,115387.39
2025-08-25,113456.90
2025-08-26,110124.10
2025-08-27,111795.71
2025-08-28,111219.05
2025-08-29,112550.52
2025-08-30,108409.41
2025-08-31,108818.46
2025-09-01,108228.75
2025-09-02,109243.07
2025-09-03,111190.70
2025-09-04,111718.15
2025-09-05,110723.02
2025-09-06,110650.57
2025-09-07,110221.33
2025-09-08,111163.02
2025-09-09,112077.58
2025-09-10,111531.25
2025-09-11,113961.43
2025-09-12,115507.79
2025-09-13,116093.56
2025-09-14,115950.29
2025-09-15,115399.63
2025-09-16,115423.76
2025-09-17,116840.51
2025-09-18,116461.27
2025-09-19,117137.67
2025-09-20,115691.13
2025-09-21,115730.23
2025-09-22,115309.22
2025-09-23,112757.48
2025-09-24,112007.66
2025-09-25,113330.16
2025-09-26,109041.30
2025-09-27,109707.14
2025-09-28,109681.95
2025-09-29,112117.88
2025-09-30,114396.52
2025-10-01,114057.59
2025-10-02,118652.38
2025-10-03,120656.98
2025-10-04,122267.47
2025-10-05,122419.67
2025-10-06,123510.45
2025-10-07,124752.14
2025-10-08,121448.35
2025-10-09,123337.07
2025-10-10,121704.74
2025-10-11,113236.43
2025-10-12,110811.52
2025-10-13,115161.68
2025-10-14,115264.88
2025-10-15,113113.97
2025-10-16,110782.17
2025-10-17,108179.13
2025-10-18,106483.73
2025-10-19,107204.31
2025-10-20,108667.45
2025-10-21,110587.63
2025-10-22,108491.53
2025-10-23,107679.44
2025-10-24,110069.35
2025-10-25,111032.62
2025-10-26,111639.05
2025-10-27,114479.85
2025-10-28,114129.09
2025-10-29,112921.33
2025-10-30,110059.20
2025-10-31,108304.41
2025-11-01,109558.63
2025-11-02,110064.43
2025-11-03,110646.91
2025-11-04,106541.42
2025-11-05,101579.23
2025-11-06,103893.66
2025-11-07,101286.24
2025-11-08,103371.70
2025-11-09,102278.98
2025-11-10,104723.77
2025-11-11,105996.86
2025-11-12,103011.44
2025-11-13,101674.15
2025-11-14,99694.70
2025-11-15,94420.47
2025-11-16,95556.87
2025-11-17,94180.88
2025-11-18,92094.53
2025-11-19,92946.16
2025-11-20,91459.35
2025-11-21,86528.77
2025-11-22,85098.56
2025-11-23,84648.61
2025-11-24,86798.77
2025-11-25,88269.96
2025-11-26,87345.59
2025-11-27,90517.77
2025-11-28,91285.38
2025-11-29,90918.74
2025-11-30,90838.21
2025-12-01,90389.11
2025-12-02,86322.54
2025-12-03,91345.09
2025-12-04,93454.26
2025-12-05,92133.65
2025-12-06,89389.36
2025-12-07,89277.81
2025-12-08,90424.59
2025-12-09,90639.70
2025-12-10,92695.23
2025-12-11,92011.30
2025-12-12,92513.66
2025-12-13,90257.80
2025-12-14,90296.44
2025-12-15,88171.08
2025-12-16,86424.41
2025-12-17,87847.62
2025-12-18,86144.37
2025-12-19,85476.13
2025-12-20,88101.67
2025-12-21,88344.70
2025-12-22,88621.40
2025-12-23,88490.03
2025-12-24,87404.32
2025-12-25,87608.32
2025-12-26,87235.51
2025-12-27,87301.43
2025-12-28,87799.34
2025-12-29,87835.79
2025-12-30,87134.35
2025-12-31,88429.59
2026-01-01,87508.05
2026-01-02,88733.06
2026-01-03,89945.05
2026-01-04,90603.00
2026-01-05,91414.63
2026-01-06,93876.95
2026-01-07,93727.47
2026-01-08,91309.64
2026-01-09,91026.27
2026-01-10,90510.10
2026-01-11,90385.36
2026-01-12,90825.86
2026-01-13,91185.34
2026-01-14,95322.91
2026-01-15,96931.29
2026-01-16,95554.10
2026-01-17,95525.16
2026-01-18,95101.18
2026-01-19,93655.67
2026-01-20,92553.60
2026-01-21,88326.51
2026-01-22,89378.52
2026-01-23,89462.05
2026-01-24,89506.15
2026-01-25,89104.77
2026-01-26,86566.52
2026-01-27,88257.48
2026-01-28,89104.05
2026-01-29,89169.85
2026-01-30,84562.73
2026-01-31,84126.50
2026-02-01,78626.13
2026-02-02,76968.88
2026-02-03,78693.51
2026-02-04,75640.09
2026-02-05,73016.38
2026-02-06,62704.45
2026-02-07,70553.80
2026-02-08,69283.73
2026-02-09,70243.33
2026-02-10,70137.39
2026-02-11,68791.86
2026-02-12,66992.20
2026-02-13,66213.38
2026-02-14,68856.98
2026-02-15,69764.95
2026-02-16,68782.40
2026-02-17,68852.83
